NRO,UMP,SUBMUESTRA,AMBITO,MACROREGION,DOMINIOGEO,SEXO,EDAD,GEDAD,NSE1,NSEGRUP,NIVEDU,PESO,P81,P82A,P82B,P82C,P82D,P82E,P82F,P83,P84,P85A,P85B,P85C,P85D,P85E,P85F,P85G,P85H,P85I,P85J,P85K,P85L,P86A,P86B,P86C,P86D,P86E,P86F,P86G,P87
1,1,1,1,1,1,2,40,2,2,1,9,2.43048565596773,8,1,1,2,2,4,1,1,2,3,2,2,3,3,3,8,2,2,3,3,3,4,2,2,4,4,2,1,3
2,1,1,1,1,1,1,61,3,2,1,9,2.43048565596773,1,1,1,4,2,4,4,2,3,3,2,2,2,3,3,3,2,2,3,3,3,2,4,4,4,4,2,2,3
3,1,1,1,1,1,2,65,3,4,3,6,2.43048565596773,8,2,3,3,7,7,2,2,4,2,2,2,2,2,3,3,2,3,8,2,3,2,1,2,4,2,1,2,3
4,1,1,1,1,1,1,25,1,2,1,10,2.43048565596773,5,1,1,2,7,2,2,2,4,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,2,1,2,1,3
5,1,1,1,1,1,2,21,1,3,2,6,2.43048565596773,1,1,1,2,7,7,2,2,3,3,2,2,1,2,3,2,1,2,3,2,2,1,1,3,8,1,4,1,3
6,2,1,1,1,1,1,27,1,2,1,6,2.43048565596773,5,1,2,4,4,2,4,2,5,3,2,2,1,1,3,4,2,1,4,3,3,3,2,3,3,4,3,8,3
7,2,1,1,1,1,1,52,3,1,1,10,2.43048565596773,5,1,1,2,7,7,4,2,6,3,1,2,4,1,4,4,3,2,4,3,3,1,1,2,2,2,2,2,2
8,2,1,1,1,1,2,58,3,2,1,10,2.43048565596773,8,1,1,4,7,7,4,8,5,4,1,2,1,1,4,3,3,2,8,4,4,3,2,8,8,4,3,3,3
9,2,1,1,1,1,2,24,1,2,1,9,2.43048565596773,2,1,1,1,7,4,2,2,3,4,2,1,4,4,4,4,3,1,4,4,3,4,3,4,4,4,4,4,2
10,2,1,1,1,1,2,60,3,2,1,9,2.43048565596773,2,1,1,3,7,7,4,2,4,3,2,2,1,1,4,4,2,1,4,2,2,2,1,8,4,3,2,1,3
11,3,1,1,1,1,1,61,3,4,3,4,2.43048565596773,1,1,1,2,8,4,4,3,4,2,2,3,1,1,2,8,2,2,3,2,2,2,4,4,4,4,1,9,3
12,3,1,1,1,1,1,51,3,3,2,6,2.43048565596773,1,2,2,4,4,3,4,2,4,2,3,2,1,1,2,3,2,2,4,2,9,2,2,4,3,3,2,2,3
13,3,1,1,1,1,2,75,3,3,2,6,2.43048565596773,6,1,1,4,7,7,4,3,5,1,3,3,2,1,2,3,3,8,3,2,3,2,2,4,4,4,1,2,3
14,3,1,1,1,1,2,44,2,2,1,10,2.43048565596773,9,2,1,8,4,7,4,2,5,8,2,2,2,3,8,3,2,2,3,9,3,2,2,4,4,2,1,1,3
15,3,1,1,1,1,1,21,1,2,1,7,2.43048565596773,5,1,1,3,7,7,2,2,4,2,2,2,3,3,3,3,3,2,3,3,3,2,2,3,8,3,1,1,3
16,4,1,1,1,1,1,38,2,3,2,8,2.43048565596773,3,1,1,4,4,4,4,2,4,2,1,2,2,3,4,3,1,2,4,4,4,1,1,1,4,1,1,2,3
17,4,1,1,1,1,2,28,1,2,1,8,2.43048565596773,4,2,1,4,9,4,4,1,3,3,1,2,3,3,2,8,2,1,8,4,4,2,2,4,1,2,2,4,3
18,4,1,1,1,1,1,27,1,2,1,9,2.43048565596773,4,1,1,2,7,4,4,2,4,2,1,2,2,3,4,3,1,2,8,4,4,2,2,4,4,2,2,2,3
19,4,1,1,1,1,2,38,2,3,2,6,2.43048565596773,4,1,1,4,4,7,4,2,5,1,3,2,2,2,2,1,1,2,2,3,4,1,2,4,8,4,2,8,3
20,4,1,1,1,1,1,76,3,3,2,8,2.43048565596773,5,2,2,4,7,7,4,2,5,2,3,2,1,1,1,1,2,3,1,1,3,2,2,8,9,2,2,2,3
21,5,1,1,1,1,2,18,1,4,3,7,2.43048565596773,1,2,4,4,4,7,4,2,5,2,2,2,1,1,2,8,2,2,8,4,4,4,2,4,4,4,4,4,3
22,5,1,1,1,1,2,52,3,3,2,5,2.43048565596773,4,4,4,4,4,4,4, ,6,1,2,2,2,2,8,8,2,2,8,2,2,4,8,4,4,4,4,4,4
23,5,1,1,1,1,2,49,3,3,2,8,2.43048565596773,3,1,1,1,4,7,4,8,5,1,3,8,1,2,2,8,2,2,4,1,2,3,2,4,4,4,4,4,4
